,sigmoid,linear,relu,linear_step
0,3.7823784065730863,1.5120844566215614,1.5120844566215033,16.48986720240293
1,2.8102694615938506,1.860385597486789,1.8603855974900128,18.828430187485164
2,9.67585234966034,1.4059771519118271,1.4059771519116746,16.849646123184815
3,6.361854627632284,1.9486618070732389,1.9486618070736874,17.089498737039403
4,1.7069934262929058,1.1837478521061062,1.1837478521062927,15.590419900448225
5,5.508091697847944,1.0579497495660517,1.0579497495659502,16.250014588548343
6,12.693262598480992,1.4728622691985584,1.472862269198638,15.290604133129989
7,2.3160055157993322,1.6543818869057645,1.6543818869056717,17.209425043966693
8,7.226887438601646,1.8039492611586965,1.8039492611585561,16.01016197469376
9,3.704647162846348,2.044273310411633,2.044273310411611,19.547988029048927
10,0.7291897309506189,0.7370244995370249,0.7358410417923501,10.673441316429171
11,15.574181539157719,2.7829894394952297,2.7829894394932686,21.226956326031043
12,1.0109263272845634,1.058291644778319,1.0582916447782813,14.031377910393402
13,7.424618434148052,1.340876399781994,1.3408763997828181,14.031377910393404
14,7.878179484140549,1.5882260573332836,1.5882260573332039,16.84964612318481
15,9.465288768001662,2.6871876771872603,2.6871876771865737,21.226956326031043
16,8.619924178698069,2.4045662803706453,2.404566280491118,20.267545870612693
17,16.165229677898537,2.607487193820435,2.607487193816535,21.286919479494696
18,5.558675139898504,0.8001073953412449,0.8001073953412264,12.172520153020345
19,7.874283596168307,1.6799677526613708,1.6168212571118528,13.251856915365993
20,15.91111281935197,2.9851586396345984,2.9851586396351597,21.406845786421986
21,6.797969820256273,1.0060132790843002,1.005930298382096,14.51108313810258
22,0.9151115061803364,0.8976678927159257,0.889696682866442,14.331193677711639
23,8.005855963793612,1.7499670773402174,1.74700149258203,16.48986720240293
24,5.880193132740075,0.8614851695203246,0.8614851695202973,12.412372766874933
25,14.563634785325625,2.0435157473242285,2.0435157473228163,20.027693256758102
26,7.9936129292501334,1.8224689148077733,1.8224689148078295,18.168835499385047
27,11.190126392890742,2.73529977987215,2.7352997798849743,21.34688263295834
28,1.0174098156197908,1.0012873596458363,0.9988425170755453,13.012004301511404
29,1.8179550192669474,1.0357489233034152,1.0356821507125318,11.692814925311168
30,12.01805267905722,2.4086228452674017,2.4086228452208065,20.50739848446728
31,7.960934147748087,1.8227682414706023,1.8227682414694464,15.11071467273905
32,2.6239647881797072,1.8556099494013079,1.8556099494008647,18.108872345921398
33,12.928419507747522,2.5053438735706997,2.505343873570167,19.428061722121637
34,8.027518487955543,1.569543682240905,1.5622090382154372,14.571046291566226
35,7.607341645429366,1.5137369532062344,1.5137369532060758,16.96957243011211
36,2.440719618365397,1.5398155042843824,1.5398155042852373,15.71034620737552
37,10.49243771917101,1.5693276024386666,1.5693276024387073,17.809056578603165
38,5.209041498031362,2.3044188769711376,2.3044188769708462,20.56736163793093
39,5.515021589144426,0.789362862394802,0.7893628623947779,12.832114841120463
40,6.576848510060787,2.7512015225268898,2.751201522526865,21.52677209334928
41,8.321824679578372,2.2778578008849575,2.277857800884931,20.1476195636854
42,6.532639404089259,1.6178951632070444,1.617895163208236,16.90960927664846
43,13.259242873476255,2.2518366683378477,2.2518366683373316,20.56736163793093
44,1.5066561739986177,1.270472135833887,1.2704721358337339,14.690972598493522
45,6.874065042285351,1.5460148761966301,1.5460148761964216,17.389314504357635
46,5.455891278960717,1.6069678379688925,1.6018595051691114,16.250014588548343
47,10.10684631254509,2.4512649839914133,2.451264983995559,21.10703001910375
48,1.7408319245685167,1.407837047722771,1.4078370477225841,17.0894987370394
